month,line_item,budget,actual,variance,variance_pct
2017-09,ad_spend,8.50311,8.589239962884589,0.08612996288458952,0.010129230703188542
2017-09,logistics,14.175,12.97555580656401,-1.1994441934359905,-0.084616874316472
2017-09,payroll,45000.0,45447.042737710115,447.04273771011503,0.009934283060224779
2017-09,rent,8000.0,7962.741619714379,-37.25838028562066,-0.0046572975357025825
2017-10,ad_spend,2523.9733979999996,1984.5694198722724,-539.4039781277272,-0.21371222793201852
2017-10,logistics,1461.465,1557.634647997351,96.16964799735115,0.06580359296825525
2017-10,payroll,45000.0,44875.56212894593,-124.43787105406955,-0.0027652860234237677
2017-10,rent,8000.0,8019.356981725283,19.35698172528282,0.0024196227156603528
2017-12,ad_spend,0.6867,0.6306258574602835,-0.05607414253971643,-0.0816574086787774
2017-12,logistics,4.7250000000000005,4.263521100310954,-0.46147889968904643,-0.09766749199768178
2017-12,payroll,45000.0,45582.91968429062,582.9196842906167,0.012953770762013705
2017-12,rent,8000.0,7846.937580427376,-153.0624195726241,-0.01913280244657801
2018-01,ad_spend,7003.985369999999,7120.520399329561,116.53502932956144,0.016638388456479806
2018-01,logistics,4268.385,4339.70581887715,71.32081887714958,0.01670908760038037
2018-01,payroll,45000.0,46370.72687076722,1370.7268707672192,0.030460597128160426
2018-01,rent,8000.0,7862.006573398958,-137.9934266010423,-0.017249178325130288
2018-02,ad_spend,14448.086238,11953.638068102766,-2494.448169897234,-0.1726490366133454
2018-02,logistics,8719.11,7352.183650094289,-1366.9263499057115,-0.15677360991038208
2018-02,payroll,45000.0,44789.261962749,-210.73803725100151,-0.0046830674944667
2018-02,rent,8000.0,7955.016997660722,-44.983002339277846,-0.00562287529240973
2018-03,ad_spend,22540.260696,23810.510387472306,1270.2496914723051,0.056354702751850776
2018-03,logistics,13562.19,12121.141075959216,-1441.0489240407842,-0.10625488391187442
2018-03,payroll,45000.0,44789.276738745735,-210.7232612542648,-0.004682739138983662
2018-03,rent,8000.0,7918.973510373246,-81.02648962675357,-0.010128311203344197
2018-04,ad_spend,21357.830850000002,19433.579918812287,-1924.2509311877147,-0.0900958034878207
2018-04,logistics,12056.985,12246.869237436438,189.88423743643762,0.01574889886952979
2018-04,payroll,45000.0,46421.29153395665,1421.2915339566534,0.03158425631014786
2018-04,rent,8000.0,8025.139786607621,25.139786607621318,0.003142473325952665
2018-05,ad_spend,30678.863646,29336.538729555246,-1342.3249164447552,-0.04375406246899146
2018-05,logistics,18783.045000000002,19892.697080243994,1109.6520802439918,0.05907732639963285
2018-05,payroll,45000.0,45690.69125623762,690.6912562376165,0.015348694583058143
2018-05,rent,8000.0,7927.358073958303,-72.64192604169693,-0.009080240755212117
2018-06,ad_spend,26476.768722,24087.081700425617,-2389.687021574384,-0.0902559918344096
2018-06,logistics,16359.210000000001,16583.485975946063,224.27597594606232,0.013709462495197647
2018-06,payroll,45000.0,44577.47305265854,-422.52694734145916,-0.009389487718699092
2018-06,rent,8000.0,7887.015703893177,-112.98429610682342,-0.014123037013352928
2018-07,ad_spend,30127.657175999997,38498.377496620335,8370.720320620338,0.2778417276763405
2018-07,logistics,20678.535000000003,20487.220035595594,-191.3149644044097,-0.009251862591059264
2018-07,payroll,45000.0,45488.30403922736,488.3040392273615,0.010851200871719145
2018-07,rent,8000.0,8117.251901513724,117.25190151372408,0.01465648768921551
2018-08,ad_spend,34791.89673,34721.45762261643,-70.43910738357226,-0.0020245837106901607
2018-08,logistics,22484.52,21942.906234755897,-541.613765244103,-0.024088295647143144
2018-08,payroll,45000.0,44582.924076468786,-417.07592353121436,-0.009268353856249209
2018-08,rent,8000.0,7981.937895961077,-18.06210403892328,-0.00225776300486541
